"households.scaled","population.scaled","total_rooms.scaled","total_bedrooms.scaled"
0.0207168694508385,0.00902415783868617,0.0223804679552391,0.0200155159038014
0.187109503452812,0.0672888291015078,0.180544252288911,0.171605896043445
0.0291022689904637,0.013900566111765,0.0373092573753815,0.0294802172226532
0.0360078921407432,0.0156381368757357,0.0324008138351984,0.0364623739332816
0.0425846760933903,0.0158343142200549,0.0413784333672431,0.04344453064391
0.0317329825715225,0.0115744633148366,0.0233723296032553,0.0330488750969744
0.0845116737915159,0.0306597163836108,0.064471007121058,0.0758727695888285
0.106379480434068,0.0324253124824842,0.078942014242116,0.106594259115593
0.0978296612956264,0.033798553892719,0.0649796541200407,0.103180760279286
0.117395593554752,0.0434672944341685,0.0902594099694812,0.109697439875873
0.0660966787241039,0.0255030547615044,0.0560020345879959,0.0673390224980605
0.120683985531075,0.0421501036937391,0.089089521871821,0.116679596586501
0.0769483722459717,0.0307718177232218,0.063351983723296,0.0735453840186191
0.0286090101940151,0.00966874054144947,0.0177009155645982,0.0296353762606672
0.101940151266031,0.0339667059021355,0.0672177009155646,0.0971295577967417
0.0434067740874712,0.0195336584272182,0.0284842319430315,0.0439100077579519
0.0544228872081552,0.0222240905778824,0.05,0.0538401861908456
0.0498191384413022,0.0181604170169834,0.0312309257375381,0.0454615981380915
0.068891811903979,0.0277450815537246,0.0569430315361139,0.0705973622963538
0.0452153896744492,0.0193374810828989,0.0382248219735504,0.0462373933281614
0.0272936534034857,0.0114623619752256,0.0190996948118006,0.0285492629945694
0.0601775731667215,0.0260355361246567,0.0416836215666328,0.0569433669511249
0.0785925682341335,0.0284457149262934,0.0619532044760936,0.0839410395655547
0.0534363696152581,0.0239056106720475,0.0429298067141404,0.052288595810706
0.0693850707004275,0.0281934869121686,0.0565615462868769,0.0678044996121024
0.0195659322591253,0.00888403116417241,0.0136063072227874,0.0190845616757176
0.0392962841170668,0.0170113782859705,0.0287385554425229,0.0378588052754073
0.065274580730023,0.0308839190628328,0.0482706002034588,0.065321955003879
0.0777704702400526,0.0316966537750126,0.0529501525940997,0.0763382467028704
0.0254850378165077,0.0110700072865871,0.0185401831129196,0.0248254460822343
0.0621506083525156,0.0241858640210751,0.0487283825025432,0.069356089992242
0.0725090430779349,0.0327335911664144,0.0547558494404883,0.0746314972847168
0.0550805656034199,0.0287539936102236,0.048880976602238,0.0634600465477114
0.0540940480105229,0.0211311025166751,0.0420905391658189,0.0567882079131109
0.0881289049654719,0.0352558713076621,0.0677772126144456,0.0890612878200155
0.0434067740874712,0.0159744408945687,0.0309003051881994,0.0437548487199379
0.0614929299572509,0.0276610055490163,0.0457273652085453,0.0670287044220326
0.0662610983229201,0.0252508267473796,0.0384282807731434,0.0605120248254461
0.0508056560341993,0.0193094557479962,0.0373855544252289,0.0512024825446082
0.114436040776061,0.0385908861610896,0.061851475076297,0.110938712179984
0.0649457415323907,0.0265119668180035,0.0423448626653103,0.065011636927851
0.0409404801052285,0.0144890981447228,0.0238046795523906,0.0482544608223429
0.0310753041762578,0.0129477047250715,0.0181332655137335,0.0313421256788208
0.0325550805656034,0.0130878313995852,0.0241607324516785,0.0313421256788208
0.0480105228543242,0.0184967210358164,0.0366988809766022,0.0482544608223429
0.0628082867477803,0.020122190460176,0.0421159715157681,0.065166795965865
0.0499835580401184,0.0172636063000953,0.0286113936927772,0.0499612102404965
0.0415981585004933,0.0156381368757357,0.0256103763987792,0.0484096198603569
0.0263071358105886,0.0118547166638641,0.0158697863682604,0.030256012412723
0.057875698783295,0.0196177344319265,0.024059003051882,0.0581846392552366
0.0720157842814863,0.0205986211535228,0.0227873855544252,0.0702870442203258
