"population","households","households.scaled","population.scaled"
322,126,0.0207168694508385,0.00902415783868617
2401,1138,0.187109503452812,0.0672888291015078
496,177,0.0291022689904637,0.013900566111765
558,219,0.0360078921407432,0.0156381368757357
565,259,0.0425846760933903,0.0158343142200549
413,193,0.0317329825715225,0.0115744633148366
1094,514,0.0845116737915159,0.0306597163836108
1157,647,0.106379480434068,0.0324253124824842
1206,595,0.0978296612956264,0.033798553892719
1551,714,0.117395593554752,0.0434672944341685
910,402,0.0660966787241039,0.0255030547615044
1504,734,0.120683985531075,0.0421501036937391
1098,468,0.0769483722459717,0.0307718177232218
345,174,0.0286090101940151,0.00966874054144947
1212,620,0.101940151266031,0.0339667059021355
697,264,0.0434067740874712,0.0195336584272182
793,331,0.0544228872081552,0.0222240905778824
648,303,0.0498191384413022,0.0181604170169834
990,419,0.068891811903979,0.0277450815537246
690,275,0.0452153896744492,0.0193374810828989
409,166,0.0272936534034857,0.0114623619752256
929,366,0.0601775731667215,0.0260355361246567
1015,478,0.0785925682341335,0.0284457149262934
853,325,0.0534363696152581,0.0239056106720475
1006,422,0.0693850707004275,0.0281934869121686
317,119,0.0195659322591253,0.00888403116417241
607,239,0.0392962841170668,0.0170113782859705
1102,397,0.065274580730023,0.0308839190628328
1131,473,0.0777704702400526,0.0316966537750126
395,155,0.0254850378165077,0.0110700072865871
863,378,0.0621506083525156,0.0241858640210751
1168,441,0.0725090430779349,0.0327335911664144
1026,335,0.0550805656034199,0.0287539936102236
754,329,0.0540940480105229,0.0211311025166751
1258,536,0.0881289049654719,0.0352558713076621
570,264,0.0434067740874712,0.0159744408945687
987,374,0.0614929299572509,0.0276610055490163
901,403,0.0662610983229201,0.0252508267473796
689,309,0.0508056560341993,0.0193094557479962
1377,696,0.114436040776061,0.0385908861610896
946,395,0.0649457415323907,0.0265119668180035
517,249,0.0409404801052285,0.0144890981447228
462,189,0.0310753041762578,0.0129477047250715
467,198,0.0325550805656034,0.0130878313995852
660,292,0.0480105228543242,0.0184967210358164
718,382,0.0628082867477803,0.020122190460176
616,304,0.0499835580401184,0.0172636063000953
558,253,0.0415981585004933,0.0156381368757357
423,160,0.0263071358105886,0.0118547166638641
700,352,0.057875698783295,0.0196177344319265
